Número,Primera columna,Última columna,Repeticiones
1,6733,6772,40
2,5086,5145,60
3,6611,6650,40
4,5628,5683,56
5,5146,5210,65
6,7161,8110,45
7,7199,8103,40
8,3283,3367,85
9,6394,6439,46
10,7085,8096,45
11,3094,3180,87
12,3993,4079,87
13,5743,5791,49
14,6048,6095,48
15,6345,6393,49
16,6651,6691,41
17,3827,3911,85
18,4243,4324,82
19,6148,6196,49
20,4896,4951,56
21,6773,6812,40
22,5339,5397,59
23,3368,3458,91
24,6813,8052,42
25,6570,6610,41
26,6486,6526,41
27,6849,6888,40
28,5211,5276,66
29,4080,4157,78
30,3459,3543,85
31,6889,8076,52
32,5583,5627,45
33,6440,6485,46
34,6928,6967,40
35,6968,8087,43
36,4325,4399,75
37,3733,7297,108
38,5792,5847,56
39,7006,8080,41
40,4557,4623,67
41,2188,2314,127
42,5684,5742,59
43,2315,2444,130
44,1490,1582,93
45,7122,8097,40
46,946,1141,196
47,4952,5018,67
48,4624,4694,71
49,6197,6245,49
50,6296,6569,92
51,1313,3992,258
52,4158,4242,85
53,3640,3732,93
54,5398,5458,61
55,4695,4765,71
56,2752,2860,109
57,7233,8149,67
58,2638,2751,114
59,5019,5085,67
60,2919,3027,109
61,6246,6295,50
62,7267,8188,55
63,5848,5901,54
64,6096,6147,52
65,3181,3282,102
66,5522,5582,61
67,7045,8078,42
68,5902,5955,54
69,5956,6009,54
70,5277,5338,62
71,4480,8088,78
72,3544,3639,96
73,251,444,194
74,1142,1312,171
75,2068,2187,120
76,2445,2551,107
77,0,250,251
78,1826,1962,137
79,6692,6732,41
80,1963,2067,105
81,780,945,166
82,1583,1694,112
83,1695,1825,131
84,2552,2637,86
85,4766,7300,63
86,2861,2918,58
87,5459,5521,63
88,445,8082,154
89,597,7283,184
90,4400,7299,82
91,4828,8060,76
92,3028,3093,66
93,6010,8116,46
94,7303,7464,162
95,7465,7592,128
96,7593,7683,91
97,7684,7749,66
98,7750,7831,82
99,7832,8063,63
100,7892,7940,49
101,7941,7998,58
102,7999,8046,48
