Número dentro,Número que lo contiene
1,37
1,71
1,85
1,88
1,89
1,90
1,91
1,93
2,37
2,71
2,85
2,88
2,89
2,90
2,91
3,37
3,71
3,85
3,88
3,89
3,90
3,91
3,93
4,37
4,71
4,85
4,88
4,89
4,90
4,91
5,37
5,71
5,85
5,88
5,89
5,90
5,91
6,93
7,6
7,93
8,51
8,88
8,89
9,37
9,50
9,71
9,85
9,88
9,89
9,90
9,91
9,93
10,93
11,51
11,88
11,89
12,37
12,88
12,89
13,37
13,71
13,85
13,88
13,89
13,90
13,91
14,37
14,71
14,85
14,88
14,89
14,90
14,91
14,93
15,37
15,50
15,71
15,85
15,88
15,89
15,90
15,91
15,93
16,37
16,71
16,85
16,88
16,89
16,90
16,91
16,93
17,37
17,51
17,88
17,89
18,37
18,88
18,89
19,37
19,71
19,85
19,88
19,89
19,90
19,91
19,93
20,37
20,71
20,85
20,88
20,89
20,90
20,91
21,37
21,71
21,85
21,88
21,89
21,90
21,91
21,93
22,37
22,71
22,85
22,88
22,89
22,90
22,91
23,51
23,88
23,89
24,71
24,88
24,91
24,93
25,37
25,71
25,85
25,88
25,89
25,90
25,91
25,93
26,37
26,50
26,71
26,85
26,88
26,89
26,90
26,91
26,93
27,24
27,37
27,71
27,85
27,88
27,89
27,90
27,91
27,93
28,37
28,71
28,85
28,88
28,89
28,90
28,91
29,37
29,88
29,89
30,51
30,88
30,89
31,71
31,88
31,93
32,37
32,71
32,85
32,88
32,89
32,90
32,91
33,37
33,50
33,71
33,85
33,88
33,89
33,90
33,91
33,93
34,24
34,31
34,37
34,71
34,85
34,88
34,89
34,90
34,91
34,93
35,71
35,93
36,37
36,88
36,89
37,88
38,37
38,71
38,85
38,88
38,89
38,90
38,91
39,35
39,71
39,88
39,93
40,37
40,71
40,88
40,89
40,90
41,51
41,88
41,89
42,37
42,71
42,85
42,88
42,89
42,90
42,91
43,51
43,88
43,89
44,51
44,88
44,89
45,93
46,88
46,89
47,37
47,71
47,85
47,88
47,89
47,90
47,91
48,37
48,71
48,88
48,89
48,90
49,37
49,71
49,85
49,88
49,89
49,90
49,91
49,93
50,37
50,71
50,85
50,88
50,89
50,90
50,91
50,93
51,88
51,89
52,37
52,88
52,89
53,51
53,88
53,89
54,37
54,71
54,85
54,88
54,89
54,90
54,91
55,37
55,71
55,88
55,89
55,90
56,51
56,88
56,89
58,51
58,88
58,89
59,37
59,71
59,85
59,88
59,89
59,90
59,91
60,51
60,88
60,89
61,37
61,71
61,85
61,88
61,89
61,90
61,91
61,93
63,37
63,71
63,85
63,88
63,89
63,90
63,91
64,37
64,71
64,85
64,88
64,89
64,90
64,91
64,93
65,51
65,88
65,89
66,37
66,71
66,85
66,88
66,89
66,90
66,91
67,35
67,39
67,71
67,88
67,93
68,37
68,71
68,85
68,88
68,89
68,90
68,91
69,37
69,71
69,85
69,88
69,89
69,90
69,91
70,37
70,71
70,85
70,88
70,89
70,90
70,91
72,51
72,88
72,89
74,88
74,89
75,51
75,88
75,89
76,51
76,88
76,89
78,51
78,88
78,89
79,37
79,71
79,85
79,88
79,89
79,90
79,91
79,93
80,51
80,88
80,89
81,88
81,89
82,51
82,88
82,89
83,51
83,88
83,89
84,51
84,88
84,89
85,71
85,88
86,51
86,88
86,89
87,37
87,71
87,85
87,88
87,89
87,90
87,91
89,88
90,88
91,71
91,88
92,51
92,88
92,89
94,6
94,7
94,10
94,24
94,31
94,35
94,39
94,45
94,57
94,62
94,67
94,71
94,88
94,91
94,93
95,6
95,7
95,10
95,24
95,31
95,35
95,39
95,45
95,57
95,62
95,67
95,71
95,88
95,91
95,93
96,6
96,7
96,10
96,24
96,31
96,35
96,39
96,45
96,57
96,62
96,67
96,71
96,88
96,91
96,93
97,6
97,7
97,10
97,24
97,31
97,35
97,39
97,45
97,57
97,62
97,67
97,71
97,88
97,91
97,93
98,6
98,7
98,10
98,24
98,31
98,35
98,39
98,45
98,57
98,62
98,67
98,71
98,88
98,91
98,93
99,6
99,7
99,10
99,31
99,35
99,39
99,45
99,57
99,62
99,67
99,71
99,88
99,93
100,6
100,7
100,10
100,24
100,31
100,35
100,39
100,45
100,57
100,62
100,67
100,71
100,88
100,91
100,93
100,99
101,6
101,7
101,10
101,24
101,31
101,35
101,39
101,45
101,57
101,62
101,67
101,71
101,88
101,91
101,93
101,99
102,6
102,7
102,10
102,24
102,31
102,35
102,39
102,45
102,57
102,62
102,67
102,71
102,88
102,91
102,93
102,99
